,epoch,train_loss,basket_value_train_loss,train_auc,train_mse,train_bce,val_loss,basket_value_val_loss,val_auc,val_mse,val_bce
0,1.0,336478858826.73596,1100.887214625486,0.4998234970604374,336478858823.5986,3.2408009488278635,785.2060546875,849.973388671875,0.5,784.8867797851562,0.3192480206489563
1,2.0,410223517.5797123,960.0755978304486,0.5017982051654026,410223515.78534824,1.794887299842549,784.3915405273438,842.7666625976562,0.5,784.0712280273438,0.3202933967113495
2,3.0,46370196536.88241,16745.99784808884,0.5005600133360669,46370196533.666916,3.264210110779182,842.7994384765625,861.8953857421875,0.5,833.2344970703125,9.564925193786621
3,4.0,40553.49096042147,850.0758201259256,0.5000428852423294,40543.93105858775,9.559902491474299,805.0852661132812,861.8953857421875,0.5,795.5203247070312,9.564925193786621
4,5.0,1485719658.469446,850.2181955270137,0.49999638742529595,1485719648.921233,9.567462981205017,4944.494140625,861.8953857421875,0.5,4934.92919921875,9.564925193786621
5,6.0,6466702871.193891,850.8238703761416,0.4999642898367433,6466702861.658713,9.56984156361007,27288.517578125,861.8953857421875,0.5,27278.953125,9.564925193786621
6,7.0,643861585.4647897,850.4272664856801,0.5000857404424576,643861575.9252982,9.558887408442578,1096.3961181640625,861.8953857421875,0.5,1086.8311767578125,9.564925193786621
7,8.0,8854803.272225423,849.6195836221018,0.4991820835454925,8854793.735390564,9.548688513525804,802.731689453125,861.8953857421875,0.5,793.166748046875,9.564925193786621
8,9.0,17493.234056979647,850.9050727059032,0.49991948439704864,17483.69897123416,9.535091230946202,793.5955810546875,861.8953857421875,0.5,784.0306396484375,9.564925193786621
9,10.0,11761.299195648522,850.079098374796,0.4996033219397729,11751.839797997072,9.459395055946667,793.70654296875,861.8953857421875,0.5,784.1416015625,9.564925193786621
10,,,,,,,,,,,
11,,,,,,,,,,,
12,,,,,,,,,,,
13,,,,,,,,,,,
14,,,,,,,,,,,
15,,,,,,,,,,,
16,,,,,,,,,,,
17,,,,,,,,,,,
18,,,,,,,,,,,
19,,,,,,,,,,,
20,,,,,,,,,,,
21,,,,,,,,,,,
22,,,,,,,,,,,
23,,,,,,,,,,,
24,,,,,,,,,,,
25,,,,,,,,,,,
26,,,,,,,,,,,
27,,,,,,,,,,,
28,,,,,,,,,,,
29,,,,,,,,,,,
30,,,,,,,,,,,
31,,,,,,,,,,,
32,,,,,,,,,,,
33,,,,,,,,,,,
34,,,,,,,,,,,
35,,,,,,,,,,,
36,,,,,,,,,,,
37,,,,,,,,,,,
38,,,,,,,,,,,
39,,,,,,,,,,,
40,,,,,,,,,,,
41,,,,,,,,,,,
42,,,,,,,,,,,
43,,,,,,,,,,,
44,,,,,,,,,,,
45,,,,,,,,,,,
46,,,,,,,,,,,
47,,,,,,,,,,,
48,,,,,,,,,,,
49,,,,,,,,,,,
50,,,,,,,,,,,
51,,,,,,,,,,,
52,,,,,,,,,,,
53,,,,,,,,,,,
54,,,,,,,,,,,
55,,,,,,,,,,,
