,epoch,train_loss,basket_value_train_loss,train_auc,train_mse,train_bce,val_loss,basket_value_val_loss,val_auc,val_mse,val_bce,lambda1,lambda2
0,1.0,920.6534187925374,919.9073030436697,0.45881880056311103,919.9073030436697,0.7461129550370702,791.1354370117188,790.4547119140625,0.41861187566729585,790.4547119140625,0.6807184219360352,1.0,1.0
1,2.0,804.3632248018417,803.6312109824339,0.4405958672011865,803.6312109824339,0.7320142115917674,786.5426025390625,785.8806762695312,0.42167989205524575,785.8806762695312,0.6619409322738647,1.0,1.0
2,3.0,777.86198809103,777.1617017874688,0.433095719827499,777.1617017874688,0.7002861494301287,771.178955078125,770.5213012695312,0.4186894800379972,770.5213012695312,0.6576467156410217,1.1036872271573483,0.8963127728426518
3,4.0,774.7645920829539,774.0881484330066,0.4197088431689609,774.0881484330066,0.6764420963869504,768.77685546875,768.1036987304688,0.392785646225822,768.1036987304688,0.6731653809547424,1.2921741613992193,0.7078258386007806
4,5.0,778.7399752564226,778.0774766418831,0.40998608278335513,778.0774766418831,0.662499547736045,770.4121704101562,769.7457885742188,0.3834904014786077,769.7457885742188,0.6663830280303955,1.2520978371160028,0.747902162883997
5,6.0,766.4383480329456,765.7831864620279,0.40205694529295116,765.7831864620279,0.655161203050906,766.1113891601562,765.4346313476562,0.3847094133320348,765.4346313476562,0.6767680048942566,0.9527940938411043,1.0472059061588956
6,7.0,765.499722627043,764.8388935861412,0.4079910578052677,764.8388935861412,0.6608294873881194,765.41259765625,764.7393188476562,0.3839011177500511,764.7393188476562,0.673301637172699,0.9014722240537135,1.0985277759462866
7,8.0,763.6354627550745,762.9750123755332,0.3987002575417775,762.9750123755332,0.6604509755877629,763.9812622070312,763.2999877929688,0.39315606128110625,763.2999877929688,0.6812492609024048,0.9813603952583169,1.018639604741683
8,9.0,761.7184365863449,761.0566134774612,0.4010418293257148,761.0566134774612,0.6618222544895359,767.427734375,766.7437133789062,0.37970090610507096,766.7437133789062,0.6839950084686279,0.9541257885152953,1.0458742114847046
9,10.0,761.9581308189345,761.2975397402523,0.4023031611605877,761.2975397402523,0.6605926775859178,778.2908935546875,777.6216430664062,0.3860655183666706,777.6216430664062,0.6692752838134766,1.0217409124080408,0.9782590875919592
10,,,,,,,,,,,,,
11,,,,,,,,,,,,,
12,,,,,,,,,,,,,
13,,,,,,,,,,,,,
14,,,,,,,,,,,,,
15,,,,,,,,,,,,,
16,,,,,,,,,,,,,
17,,,,,,,,,,,,,
18,,,,,,,,,,,,,
19,,,,,,,,,,,,,
20,,,,,,,,,,,,,
21,,,,,,,,,,,,,
22,,,,,,,,,,,,,
23,,,,,,,,,,,,,
24,,,,,,,,,,,,,
25,,,,,,,,,,,,,
26,,,,,,,,,,,,,
27,,,,,,,,,,,,,
28,,,,,,,,,,,,,
29,,,,,,,,,,,,,
30,,,,,,,,,,,,,
31,,,,,,,,,,,,,
32,,,,,,,,,,,,,
33,,,,,,,,,,,,,
34,,,,,,,,,,,,,
35,,,,,,,,,,,,,
36,,,,,,,,,,,,,
37,,,,,,,,,,,,,
38,,,,,,,,,,,,,
39,,,,,,,,,,,,,
