,epoch,train_loss,basket_value_train_loss,train_auc,train_mse,train_bce,val_loss,basket_value_val_loss,val_auc,val_mse,val_bce
0,1.0,5535.376330210133,841.1538614486952,0.47507072434885034,5534.873108660205,0.5032439955872141,796.0858764648438,852.93115234375,0.5,795.7704467773438,0.31542760133743286
1,2.0,787.3312161294729,837.2129132653345,0.5002029317316344,787.0132084215109,0.31800857497616664,787.6497192382812,850.5235595703125,0.5,787.3342895507812,0.3154168725013733
2,3.0,784.0800117340323,836.6531561099439,0.5007109027955203,783.7623597246161,0.31765184892533194,785.0072021484375,848.6077880859375,0.5,784.6917114257812,0.3154670298099518
3,4.0,778.0906380156767,836.7468235994447,0.49457515954578596,777.774653210618,0.31598434703690664,786.4182739257812,851.0808715820312,0.5,786.102294921875,0.31596630811691284
4,5.0,775.9618174000636,837.2300266904582,0.4964573410088265,775.6460858416814,0.3157333119582104,784.1846923828125,848.7655639648438,0.5088829113395049,783.8692626953125,0.3154052793979645
5,6.0,780.4758966917633,837.5740090412661,0.5021264262284707,780.1567494850921,0.3191471511409396,782.2896728515625,848.421875,0.5,781.9742431640625,0.31542110443115234
6,7.0,795.1393618019679,837.3780766500306,0.49852303859641767,794.8210055912328,0.3183565922367591,784.3359985351562,848.3826293945312,0.5,784.0205688476562,0.3154169023036957
7,8.0,778.0352809923585,838.1762906732281,0.49910094873939254,777.7072361537388,0.32804565811486835,785.7138671875,849.3460693359375,0.5001239925604464,785.3984375,0.31541693210601807
8,9.0,780.4967251966626,837.3059442523072,0.49636846616336855,780.1646970406106,0.3320274715828273,784.7918701171875,848.8531494140625,0.5,784.4764404296875,0.315420925617218
9,10.0,777.5732610324561,836.7696768061905,0.49668215598057774,777.2554438718453,0.3178191170805976,784.4506225585938,847.5431518554688,0.5,784.1351318359375,0.3154629170894623
10,,,,,,,,,,,
11,,,,,,,,,,,
12,,,,,,,,,,,
13,,,,,,,,,,,
14,,,,,,,,,,,
15,,,,,,,,,,,
16,,,,,,,,,,,
17,,,,,,,,,,,
18,,,,,,,,,,,
19,,,,,,,,,,,
