,epoch,train_loss,basket_value_train_loss,train_auc,train_mse,train_bce,val_loss,basket_value_val_loss,val_auc,val_mse,val_bce
0,1.0,2698992770.2403855,65387196.25604397,0.501143697423227,2698992687.746428,83.33075092187742,794.214599609375,861.8953857421875,0.5,784.649658203125,9.564925193786621
1,2.0,902.6537244843273,853.1056994926639,0.4998967482922177,815.7425142613853,86.91121403763934,794.163818359375,861.8953857421875,0.5,784.598876953125,9.564925193786621
2,3.0,1639.9354426686357,851.7834628965796,0.5001117603267897,1553.4196836890244,86.51578140258789,799.8084716796875,861.8953857421875,0.5,790.2435302734375,9.564925193786621
3,4.0,535263.0742180056,853.4345598918636,0.5004578339679693,535176.3160057998,86.76238264688631,793.8109741210938,861.8953857421875,0.5,784.2460327148438,9.564925193786621
4,5.0,67788304.01575898,851.1011292992569,0.5000254056882171,67788218.74116553,86.50360516804021,793.5589599609375,861.8953857421875,0.5,783.9940185546875,9.564925193786621
5,6.0,2405606350.6710763,849.4130375559737,0.5000616491005465,2405606265.663625,86.47299920058832,794.9627075195312,861.8953857421875,0.5,785.3977661132812,9.564925193786621
6,7.0,3857513.5875281356,847.1737261516292,0.5000386910172282,3857427.1723208544,86.27996319096263,794.5694580078125,861.8953857421875,0.5,785.0045166015625,9.564925193786621
7,8.0,868.4810590046208,850.7321085115758,0.4999656217076668,781.8561036644912,86.6249545957984,794.6575927734375,861.8953857421875,0.5,785.0926513671875,9.564925193786621
8,9.0,1273.910404112281,848.8676981111852,0.4999293782953374,1187.5836605909394,86.32672770430402,794.8287963867188,861.8953857421875,0.5,785.2638549804688,9.564925193786621
9,10.0,31160.692544332363,851.7507428425114,0.4998170354836451,31073.986266345513,86.70543549700481,793.8353881835938,861.8953857421875,0.5,784.2704467773438,9.564925193786621
10,,,,,,,,,,,
11,,,,,,,,,,,
12,,,,,,,,,,,
13,,,,,,,,,,,
14,,,,,,,,,,,
15,,,,,,,,,,,
16,,,,,,,,,,,
17,,,,,,,,,,,
18,,,,,,,,,,,
19,,,,,,,,,,,
20,,,,,,,,,,,
21,,,,,,,,,,,
22,,,,,,,,,,,
23,,,,,,,,,,,
24,,,,,,,,,,,
25,,,,,,,,,,,
26,,,,,,,,,,,
27,,,,,,,,,,,
28,,,,,,,,,,,
29,,,,,,,,,,,
30,,,,,,,,,,,
31,,,,,,,,,,,
32,,,,,,,,,,,
33,,,,,,,,,,,
34,,,,,,,,,,,
35,,,,,,,,,,,
36,,,,,,,,,,,
37,,,,,,,,,,,
38,,,,,,,,,,,
39,,,,,,,,,,,
40,,,,,,,,,,,
41,,,,,,,,,,,
42,,,,,,,,,,,
43,,,,,,,,,,,
44,,,,,,,,,,,
45,,,,,,,,,,,
46,,,,,,,,,,,
47,,,,,,,,,,,
48,,,,,,,,,,,
49,,,,,,,,,,,
50,,,,,,,,,,,
51,,,,,,,,,,,
52,,,,,,,,,,,
53,,,,,,,,,,,
54,,,,,,,,,,,
55,,,,,,,,,,,
