,epoch,train_loss,basket_value_train_loss,train_auc,train_mse,train_bce,val_loss,basket_value_val_loss,val_auc,val_mse,val_bce
0,1.0,20232731753481.74,20232731753473.523,0.4999512790600717,20232731753473.523,9.719416812451387,871.4603271484375,861.8953857421875,0.5,861.8953857421875,9.564925193786621
1,2.0,329283730088872.7,329283730088864.44,0.5000073962230543,329283730088864.44,9.627879829816921,871.4603271484375,861.8953857421875,0.5,861.8953857421875,9.564925193786621
2,3.0,1.1866390516349635e+18,1.1866390516349635e+18,0.4997904656601284,1.1866390516349635e+18,9.606924519927087,871.4603271484375,861.8953857421875,0.5,861.8953857421875,9.564925193786621
3,4.0,5137401015462966.0,5137401015462962.0,0.4998496371135747,5137401015462962.0,9.615946270903134,871.4603271484375,861.8953857421875,0.5,861.8953857421875,9.564925193786621
4,5.0,2.185096072386354e+19,2.185096072386354e+19,0.5001197273516684,2.185096072386354e+19,9.655002416736702,871.4603271484375,861.8953857421875,0.5,861.8953857421875,9.564925193786621
5,6.0,3.0703797504421945e+19,3.0703797504421945e+19,0.5000810062922388,3.0703797504421945e+19,9.617909018345143,871.4603271484375,861.8953857421875,0.5,861.8953857421875,9.564925193786621
6,7.0,2.553308585308063e+18,2.553308585308063e+18,0.4998333542404801,2.553308585308063e+18,9.608124596732003,871.4603271484375,861.8953857421875,0.5,861.8953857421875,9.564925193786621
7,8.0,2.710722699597212e+18,2.710722699597212e+18,0.5000743636277333,2.710722699597212e+18,9.622835214969383,871.4603271484375,861.8953857421875,0.5,861.8953857421875,9.564925193786621
8,9.0,1.2161136629830034e+17,1.2161136629830034e+17,0.49993602596687653,1.2161136629830034e+17,9.607234225295107,871.4603271484375,861.8953857421875,0.5,861.8953857421875,9.564925193786621
9,10.0,2.378974307661683e+17,2.378974307661683e+17,0.5001612848956023,2.378974307661683e+17,9.57417121277793,871.4603271484375,861.8953857421875,0.5,861.8953857421875,9.564925193786621
10,,,,,,,,,,,
11,,,,,,,,,,,
12,,,,,,,,,,,
13,,,,,,,,,,,
14,,,,,,,,,,,
15,,,,,,,,,,,
16,,,,,,,,,,,
17,,,,,,,,,,,
18,,,,,,,,,,,
19,,,,,,,,,,,
20,,,,,,,,,,,
21,,,,,,,,,,,
22,,,,,,,,,,,
23,,,,,,,,,,,
24,,,,,,,,,,,
25,,,,,,,,,,,
26,,,,,,,,,,,
27,,,,,,,,,,,
28,,,,,,,,,,,
29,,,,,,,,,,,
30,,,,,,,,,,,
31,,,,,,,,,,,
32,,,,,,,,,,,
33,,,,,,,,,,,
34,,,,,,,,,,,
35,,,,,,,,,,,
36,,,,,,,,,,,
37,,,,,,,,,,,
38,,,,,,,,,,,
39,,,,,,,,,,,
40,,,,,,,,,,,
41,,,,,,,,,,,
42,,,,,,,,,,,
43,,,,,,,,,,,
44,,,,,,,,,,,
45,,,,,,,,,,,
46,,,,,,,,,,,
47,,,,,,,,,,,
48,,,,,,,,,,,
49,,,,,,,,,,,
50,,,,,,,,,,,
51,,,,,,,,,,,
52,,,,,,,,,,,
53,,,,,,,,,,,
54,,,,,,,,,,,
55,,,,,,,,,,,
56,,,,,,,,,,,
57,,,,,,,,,,,
58,,,,,,,,,,,
59,,,,,,,,,,,
60,,,,,,,,,,,
61,,,,,,,,,,,
62,,,,,,,,,,,
63,,,,,,,,,,,
64,,,,,,,,,,,
65,,,,,,,,,,,
66,,,,,,,,,,,
67,,,,,,,,,,,
68,,,,,,,,,,,
69,,,,,,,,,,,
70,,,,,,,,,,,
71,,,,,,,,,,,
72,,,,,,,,,,,
73,,,,,,,,,,,
74,,,,,,,,,,,
75,,,,,,,,,,,
76,,,,,,,,,,,
77,,,,,,,,,,,
78,,,,,,,,,,,
79,,,,,,,,,,,
80,,,,,,,,,,,
81,,,,,,,,,,,
82,,,,,,,,,,,
83,,,,,,,,,,,
84,,,,,,,,,,,
85,,,,,,,,,,,
86,,,,,,,,,,,
87,,,,,,,,,,,
88,,,,,,,,,,,
89,,,,,,,,,,,
90,,,,,,,,,,,
91,,,,,,,,,,,
92,,,,,,,,,,,
93,,,,,,,,,,,
94,,,,,,,,,,,
95,,,,,,,,,,,
96,,,,,,,,,,,
97,,,,,,,,,,,
98,,,,,,,,,,,
99,,,,,,,,,,,
100,,,,,,,,,,,
101,,,,,,,,,,,
102,,,,,,,,,,,
