,epoch,train_loss,basket_value_train_loss,train_auc,train_mse,train_bce,val_loss,basket_value_val_loss,val_auc,val_mse,val_bce
0,1.0,960.0060925461729,947.9561357864403,0.5355823962781318,947.9561357864403,12.049956651464585,828.60888671875,825.2735595703125,0.5631072346679129,825.2735595703125,3.335350275039673
1,2.0,951.024166710732,936.378421554917,0.5044987812546544,936.378421554917,14.64574555647538,871.4603271484375,861.8953857421875,0.5,861.8953857421875,9.564925193786621
2,3.0,858.8587573354695,849.3394538891114,0.500800769868126,849.3394538891114,9.519302938024753,871.4603271484375,861.8953857421875,0.5,861.8953857421875,9.564925193786621
3,4.0,859.2453976351361,849.7230496267387,0.5004617619857868,849.7230496267387,9.522347547674691,871.4603271484375,861.8953857421875,0.5,861.8953857421875,9.564925193786621
4,5.0,860.6297843218216,851.0628517256355,0.5005608636972643,851.0628517256355,9.566932861706078,871.4603271484375,861.8953857421875,0.5,861.8953857421875,9.564925193786621
5,6.0,859.5813806653938,850.0080689578195,0.49957839275424837,850.0080689578195,9.5733116544703,871.4603271484375,861.8953857421875,0.5,861.8953857421875,9.564925193786621
6,7.0,859.4907582366521,849.9305855887277,0.49992028802593297,849.9305855887277,9.560172984860094,871.4603271484375,861.8953857421875,0.5,861.8953857421875,9.564925193786621
7,8.0,860.431148710705,850.8634652695897,0.49992028802593297,850.8634652695897,9.567683611047983,871.4603271484375,861.8953857421875,0.5,861.8953857421875,9.564925193786621
8,9.0,859.861686448714,850.295047918223,0.5000096744233182,850.295047918223,9.566638863031764,871.4603271484375,861.8953857421875,0.5,861.8953857421875,9.564925193786621
9,10.0,859.0289897069038,849.4725809639317,0.49998007200648326,849.4725809639317,9.556408593548424,871.4603271484375,861.8953857421875,0.5,861.8953857421875,9.564925193786621
10,,,,,,,,,,,
11,,,,,,,,,,,
12,,,,,,,,,,,
13,,,,,,,,,,,
14,,,,,,,,,,,
15,,,,,,,,,,,
16,,,,,,,,,,,
17,,,,,,,,,,,
18,,,,,,,,,,,
19,,,,,,,,,,,
20,,,,,,,,,,,
21,,,,,,,,,,,
22,,,,,,,,,,,
23,,,,,,,,,,,
24,,,,,,,,,,,
25,,,,,,,,,,,
26,,,,,,,,,,,
27,,,,,,,,,,,
28,,,,,,,,,,,
29,,,,,,,,,,,
30,,,,,,,,,,,
31,,,,,,,,,,,
32,,,,,,,,,,,
33,,,,,,,,,,,
34,,,,,,,,,,,
35,,,,,,,,,,,
36,,,,,,,,,,,
37,,,,,,,,,,,
38,,,,,,,,,,,
39,,,,,,,,,,,
40,,,,,,,,,,,
41,,,,,,,,,,,
42,,,,,,,,,,,
43,,,,,,,,,,,
44,,,,,,,,,,,
45,,,,,,,,,,,
46,,,,,,,,,,,
47,,,,,,,,,,,
48,,,,,,,,,,,
49,,,,,,,,,,,
50,,,,,,,,,,,
51,,,,,,,,,,,
52,,,,,,,,,,,
53,,,,,,,,,,,
54,,,,,,,,,,,
55,,,,,,,,,,,
56,,,,,,,,,,,
57,,,,,,,,,,,
58,,,,,,,,,,,
59,,,,,,,,,,,
60,,,,,,,,,,,
61,,,,,,,,,,,
62,,,,,,,,,,,
63,,,,,,,,,,,
64,,,,,,,,,,,
65,,,,,,,,,,,
66,,,,,,,,,,,
67,,,,,,,,,,,
68,,,,,,,,,,,
69,,,,,,,,,,,
70,,,,,,,,,,,
71,,,,,,,,,,,
72,,,,,,,,,,,
73,,,,,,,,,,,
74,,,,,,,,,,,
75,,,,,,,,,,,
76,,,,,,,,,,,
77,,,,,,,,,,,
78,,,,,,,,,,,
79,,,,,,,,,,,
80,,,,,,,,,,,
81,,,,,,,,,,,
82,,,,,,,,,,,
83,,,,,,,,,,,
84,,,,,,,,,,,
85,,,,,,,,,,,
86,,,,,,,,,,,
