,epoch,train_loss,basket_value_train_loss,train_auc,train_mse,train_bce,val_loss,basket_value_val_loss,val_auc,val_mse,val_bce
0,1.0,1202.791290728544,843.8464862219932,0.4761788384536705,1202.2324938796082,0.5587892090120623,888.8429565429688,852.5008544921875,0.4618926381415943,888.4142456054688,0.42874062061309814
1,2.0,1273.0293696062172,915.2761591429352,0.4410942105740671,1272.5777342484294,0.4516389001899051,807.8065185546875,850.4515380859375,0.4288381366520119,807.3817138671875,0.42478054761886597
2,3.0,1058.5809428365915,838.7828463365405,0.4327043617404155,1058.1394677228093,0.44146798077266886,815.7522583007812,852.416259765625,0.434281871575396,815.3327026367188,0.4195723831653595
3,4.0,903.0140863468387,839.4993873748545,0.42799741556956444,902.581802344725,0.4322874902213957,977.8262939453125,850.888427734375,0.43333926283297564,977.4129028320312,0.41340771317481995
4,5.0,895.8521603820144,838.3344927434731,0.42533429793278277,895.4307296448222,0.421430467460562,794.2720336914062,850.576904296875,0.42339049516349064,793.8765258789062,0.3955291211605072
5,6.0,808.9369030555456,840.4601834204889,0.4259220310410711,808.5298734978413,0.4070294415850061,803.9190063476562,847.9171142578125,0.41795195688024256,803.5366821289062,0.38233375549316406
6,7.0,812.646473616499,836.9071092268655,0.4314216657279035,812.252421108076,0.3940521633844771,784.8402099609375,849.6693115234375,0.4193319918976022,784.4734497070312,0.3667793273925781
7,8.0,799.4405702746226,844.1220551005889,0.4390089346508017,799.0579369423393,0.38263386858773124,783.4835205078125,847.9268798828125,0.42746575123429287,783.1314697265625,0.35206058621406555
8,9.0,781.2733769336238,837.1766049902194,0.4434824896359413,780.8997390911144,0.3736377031343507,780.7373657226562,844.8465576171875,0.407825849323601,780.3945922851562,0.3427857458591461
9,10.0,828.0084546817246,881.8025698332193,0.4510185282605986,827.6366064303115,0.37184921682979655,779.774658203125,847.0186767578125,0.4056609944552213,779.4389038085938,0.33574581146240234
10,,,,,,,,,,,
11,,,,,,,,,,,
12,,,,,,,,,,,
13,,,,,,,,,,,
14,,,,,,,,,,,
15,,,,,,,,,,,
16,,,,,,,,,,,
17,,,,,,,,,,,
18,,,,,,,,,,,
19,,,,,,,,,,,
20,,,,,,,,,,,
21,,,,,,,,,,,
22,,,,,,,,,,,
23,,,,,,,,,,,
24,,,,,,,,,,,
25,,,,,,,,,,,
26,,,,,,,,,,,
27,,,,,,,,,,,
28,,,,,,,,,,,
29,,,,,,,,,,,
30,,,,,,,,,,,
