,epoch,train_loss,basket_value_train_loss,train_auc,train_mse,train_bce,val_loss,basket_value_val_loss,val_auc,val_mse,val_bce,lambda1,lambda2
0,1,1126.7142122420796,1123.6817093363568,0.5354905856420041,1123.6817093363568,3.032503339593396,822.6959838867188,819.5108032226562,0.5891831208767567,819.5108032226562,3.185178518295288,1.0,1.0
1,2,892.7284328718127,889.5295712523665,0.5815203793942811,889.5295712523665,3.1988621741716114,831.9839477539062,829.1578979492188,0.5913151424279138,829.1578979492188,2.8260498046875,1.0,1.0
2,3,870.8890091597668,867.6368587002432,0.5829595084868885,867.6368587002432,3.252151943788938,795.2807006835938,793.0352172851562,0.6140055629487553,793.0352172851562,2.2454633712768555,0.9705295798694265,1.0294704201305735
3,4,865.5382732087118,862.4364668489234,0.5925269657129693,862.4364668489234,3.1018068333344955,799.705322265625,798.0951538085938,0.6007551299559776,798.0951538085938,1.6101503372192383,1.0287318622456836,0.9712681377543165
4,5,827.0993442652416,824.3497734771915,0.5870555231285228,824.3497734771915,2.749569676039409,796.4645385742188,794.2017211914062,0.6289723226219556,794.2017211914062,2.2628414630889893,1.0495287006019893,0.9504712993980108
5,6,808.9063916352629,805.6616619086705,0.5997982849775174,805.6616619086705,3.2447295916592416,787.709228515625,785.8259887695312,0.6418600628393715,785.8259887695312,1.8832203149795532,0.8561780920562225,1.1438219079437775
6,7,795.3963703553369,792.7438089569654,0.5924567654336301,792.7438089569654,2.652561853634068,785.428466796875,783.5247802734375,0.6413939823634028,783.5247802734375,1.9036641120910645,1.118348177373669,0.8816518226263309
7,8,806.6991694163692,803.3806345184888,0.5942651999685692,803.3806345184888,3.3185351809109647,786.8065185546875,784.77392578125,0.6255254057558421,784.77392578125,2.032562732696533,0.8318617105698832,1.1681382894301167
8,9,786.3325981655004,783.7399592487359,0.5915831390548683,783.7399592487359,2.592638095098039,781.7977294921875,780.4295654296875,0.6115880714214591,780.4295654296875,1.3681700229644775,1.1378963229002208,0.8621036770997792
9,10,782.8669517844733,779.6526226207523,0.593177456145229,779.6526226207523,3.214329780976465,775.3056640625,773.0743408203125,0.6480359607497408,773.0743408203125,2.231294870376587,0.8267604596487121,1.1732395403512876
10,11,776.7551099157041,774.2534241471554,0.5904974756539669,774.2534241471554,2.5016832618625617,781.9573364257812,780.336669921875,0.595488553219046,780.336669921875,1.6206364631652832,1.1522247713975367,0.8477752286024635
11,12,777.6146819693911,774.4406507059109,0.5907303419356618,774.4406507059109,3.1740321392661954,776.7055053710938,774.0932006835938,0.6413436512683799,774.0932006835938,2.6122965812683105,0.8105200483775226,1.1894799516224777
12,13,771.2917706074159,768.5341693901577,0.5966530475910528,768.5341693901577,2.757601106093705,776.3436279296875,774.2319946289062,0.6159548481018454,774.2319946289062,2.1116080284118652,1.0880376334363213,0.9119623665636786
13,14,773.2576636565975,770.2631402513001,0.5843106064191905,770.2631402513001,2.9945225507203785,773.2661743164062,770.920654296875,0.6511249999091496,770.920654296875,2.3455376625061035,0.9403095585047562,1.0596904414952437
14,15,765.7629350533515,763.226646938207,0.5770104274477835,763.226646938207,2.536287321634819,775.0555419921875,773.3901977539062,0.5068218802534216,773.3901977539062,1.6653614044189453,1.1024176938739283,0.8975823061260715
15,16,772.9050575677603,769.824541805712,0.5927542883740219,769.824541805712,3.0805138378786894,774.2301025390625,771.8644409179688,0.6132457269445427,771.8644409179688,2.365669012069702,0.8539579732108369,1.146042026789163
