,epoch,train_loss,basket_value_train_loss,train_auc,train_mse,train_bce,val_loss,basket_value_val_loss,val_auc,val_mse,val_bce,lambda1,lambda2
0,1.0,1097.5336698206459,1096.8769739662728,0.4350346760439281,1096.8769739662728,0.6566868569792771,774.1639404296875,773.5316772460938,0.39078259583440234,773.5316772460938,0.6322616934776306,1.0,1.0
1,2.0,763.849643614234,763.202825034537,0.40937590397818163,763.202825034537,0.6468217736337243,770.0289916992188,769.3952026367188,0.39176655965706536,769.3952026367188,0.6337928175926208,1.0,1.0
2,3.0,757.4239673149295,756.7804375625238,0.40585415102107764,756.7804375625238,0.6435299842822843,759.7689819335938,759.122314453125,0.38784707559984855,759.122314453125,0.646685779094696,0.9667535421191379,1.0332464578808622
3,4.0,758.1070050495426,757.4587528880049,0.3982998625936474,757.4587528880049,0.6482524857288454,763.1810302734375,762.5244750976562,0.3951781902464515,762.5244750976562,0.6565422415733337,0.9356678156244213,1.0643321843755789
4,5.0,754.7159528034489,754.0543786025629,0.39083652943411373,754.0543786025629,0.6615732479386214,754.7166748046875,754.0418090820312,0.39299583760027157,754.0418090820312,0.6748923659324646,0.7546753558050563,1.2453246441949437
5,6.0,752.5488899044874,751.8755552710556,0.3936201989140879,751.8755552710556,0.6733347228387507,762.1640625,761.5499267578125,0.3726179037698535,761.5499267578125,0.6141128540039062,0.7962180945261862,1.203781905473814
6,7.0,749.0670843356993,748.3998316322885,0.40825896163871256,748.3998316322885,0.6672564519614708,759.2571411132812,758.585205078125,0.3587997832674002,758.585205078125,0.6719095706939697,1.0440153267635657,0.9559846732364342
7,8.0,876.0598606016578,875.4358088795732,0.43254009181831354,875.4358088795732,0.6240474298232939,760.9536743164062,760.3275146484375,0.3854388689785294,760.3275146484375,0.6261528730392456,1.9817937752424926,0.018206224757507272
8,9.0,782.6038386647294,781.836721280726,0.4458184460317557,781.836721280726,0.7671196344422131,1350.0245361328125,1349.3231201171875,0.4541028018975368,1349.3231201171875,0.7013776898384094,0.002401417751700981,1.9975985822482991
9,10.0,802.4969102812977,801.9257864603182,0.46128656878605945,801.9257864603182,0.5711251493634247,810.24072265625,809.7286376953125,0.4266225872872012,809.7286376953125,0.5120959877967834,1.9928040145551933,0.007195985444806628
10,,,,,,,,,,,,,
11,,,,,,,,,,,,,
12,,,,,,,,,,,,,
13,,,,,,,,,,,,,
14,,,,,,,,,,,,,
15,,,,,,,,,,,,,
16,,,,,,,,,,,,,
17,,,,,,,,,,,,,
18,,,,,,,,,,,,,
19,,,,,,,,,,,,,
20,,,,,,,,,,,,,
21,,,,,,,,,,,,,
22,,,,,,,,,,,,,
23,,,,,,,,,,,,,
24,,,,,,,,,,,,,
25,,,,,,,,,,,,,
26,,,,,,,,,,,,,
27,,,,,,,,,,,,,
28,,,,,,,,,,,,,
29,,,,,,,,,,,,,
30,,,,,,,,,,,,,
31,,,,,,,,,,,,,
32,,,,,,,,,,,,,
33,,,,,,,,,,,,,
34,,,,,,,,,,,,,
35,,,,,,,,,,,,,
36,,,,,,,,,,,,,
37,,,,,,,,,,,,,
38,,,,,,,,,,,,,
39,,,,,,,,,,,,,
40,,,,,,,,,,,,,
41,,,,,,,,,,,,,
42,,,,,,,,,,,,,
43,,,,,,,,,,,,,
44,,,,,,,,,,,,,
45,,,,,,,,,,,,,
46,,,,,,,,,,,,,
47,,,,,,,,,,,,,
48,,,,,,,,,,,,,
49,,,,,,,,,,,,,
50,,,,,,,,,,,,,
51,,,,,,,,,,,,,
52,,,,,,,,,,,,,
53,,,,,,,,,,,,,
54,,,,,,,,,,,,,
55,,,,,,,,,,,,,
56,,,,,,,,,,,,,
57,,,,,,,,,,,,,
58,,,,,,,,,,,,,
59,,,,,,,,,,,,,
60,,,,,,,,,,,,,
61,,,,,,,,,,,,,
62,,,,,,,,,,,,,
63,,,,,,,,,,,,,
64,,,,,,,,,,,,,
65,,,,,,,,,,,,,
66,,,,,,,,,,,,,
67,,,,,,,,,,,,,
68,,,,,,,,,,,,,
69,,,,,,,,,,,,,
70,,,,,,,,,,,,,
71,,,,,,,,,,,,,
72,,,,,,,,,,,,,
73,,,,,,,,,,,,,
74,,,,,,,,,,,,,
75,,,,,,,,,,,,,
76,,,,,,,,,,,,,
77,,,,,,,,,,,,,
78,,,,,,,,,,,,,
79,,,,,,,,,,,,,
80,,,,,,,,,,,,,
81,,,,,,,,,,,,,
82,,,,,,,,,,,,,
83,,,,,,,,,,,,,
84,,,,,,,,,,,,,
85,,,,,,,,,,,,,
86,,,,,,,,,,,,,
87,,,,,,,,,,,,,
88,,,,,,,,,,,,,
89,,,,,,,,,,,,,
90,,,,,,,,,,,,,
91,,,,,,,,,,,,,
92,,,,,,,,,,,,,
93,,,,,,,,,,,,,
94,,,,,,,,,,,,,
95,,,,,,,,,,,,,
96,,,,,,,,,,,,,
97,,,,,,,,,,,,,
98,,,,,,,,,,,,,
99,,,,,,,,,,,,,
100,,,,,,,,,,,,,
101,,,,,,,,,,,,,
102,,,,,,,,,,,,,
103,,,,,,,,,,,,,
104,,,,,,,,,,,,,
105,,,,,,,,,,,,,
106,,,,,,,,,,,,,
107,,,,,,,,,,,,,
108,,,,,,,,,,,,,
109,,,,,,,,,,,,,
110,,,,,,,,,,,,,
111,,,,,,,,,,,,,
112,,,,,,,,,,,,,
113,,,,,,,,,,,,,
