,epoch,train_loss,basket_value_train_loss,train_auc,train_mse,train_bce,val_loss,basket_value_val_loss,val_auc,val_mse,val_bce
0,1.0,69995142776535.73,2566250497761.357,0.49854329204711506,69995142776521.39,84.339663603705,1578.3687744140625,1507.9039306640625,0.49854911987812967,1577.3760986328125,0.992645800113678
1,2.0,9.83893999831457e+16,67789341104553.8,0.4987836905762755,9.838939998314568e+16,67.78055357749928,827.5567016601562,843.0308227539062,0.5,826.8612670898438,0.6954215168952942
2,3.0,1.0443078119617878e+16,208589659353560.34,0.5021376419836158,1.0443078119617872e+16,38.264193761000804,832.9275512695312,846.2697143554688,0.5,832.2390747070312,0.6884610056877136
3,4.0,218338479302351.2,97434418949369.77,0.498526354921637,218338479302345.62,21.423972342237715,831.2803344726562,846.3951416015625,0.5,830.6425170898438,0.6377916932106018
4,5.0,132462169655641.4,5022567890570.46,0.5001430960117376,132462169655635.69,14.538876429863972,831.6025390625,846.0010375976562,0.5,830.9379272460938,0.6646416783332825
5,6.0,1.4063133182449578e+16,632644239194862.8,0.5006927915206755,1.4063133182449574e+16,10.296524734541018,808.4130859375,834.5215454101562,0.5,807.8165283203125,0.5965362787246704
6,7.0,293724438776954.06,5797776584359.171,0.4954096676404568,293724438776948.8,8.521503289265933,806.1273193359375,831.3050537109375,0.5,805.4885864257812,0.6387495994567871
7,8.0,139344489188253.64,128785875830165.36,0.49961960898539537,139344489188249.34,6.53227713974207,807.5040283203125,831.9595947265625,0.5,806.8578491210938,0.646196186542511
8,9.0,27926861235158.395,2248140544390.844,0.49363885929361173,27926861235153.402,6.09094992632507,809.840576171875,833.9321899414062,0.5,809.2055053710938,0.6350679397583008
9,10.0,5925544721216.383,4732419957515.192,0.4959540440107567,5925544721212.005,5.475133545204608,810.63916015625,831.9508666992188,0.5,809.930908203125,0.7082358002662659
10,,,,,,,,,,,
11,,,,,,,,,,,
12,,,,,,,,,,,
13,,,,,,,,,,,
14,,,,,,,,,,,
15,,,,,,,,,,,
16,,,,,,,,,,,
17,,,,,,,,,,,
18,,,,,,,,,,,
19,,,,,,,,,,,
20,,,,,,,,,,,
21,,,,,,,,,,,
22,,,,,,,,,,,
23,,,,,,,,,,,
24,,,,,,,,,,,
25,,,,,,,,,,,
26,,,,,,,,,,,
27,,,,,,,,,,,
28,,,,,,,,,,,
29,,,,,,,,,,,
30,,,,,,,,,,,
31,,,,,,,,,,,
32,,,,,,,,,,,
33,,,,,,,,,,,
34,,,,,,,,,,,
35,,,,,,,,,,,
36,,,,,,,,,,,
37,,,,,,,,,,,
38,,,,,,,,,,,
39,,,,,,,,,,,
40,,,,,,,,,,,
41,,,,,,,,,,,
42,,,,,,,,,,,
43,,,,,,,,,,,
44,,,,,,,,,,,
45,,,,,,,,,,,
46,,,,,,,,,,,
47,,,,,,,,,,,
48,,,,,,,,,,,
49,,,,,,,,,,,
50,,,,,,,,,,,
51,,,,,,,,,,,
52,,,,,,,,,,,
53,,,,,,,,,,,
54,,,,,,,,,,,
55,,,,,,,,,,,
56,,,,,,,,,,,
57,,,,,,,,,,,
58,,,,,,,,,,,
59,,,,,,,,,,,
60,,,,,,,,,,,
61,,,,,,,,,,,
62,,,,,,,,,,,
63,,,,,,,,,,,
64,,,,,,,,,,,
65,,,,,,,,,,,
66,,,,,,,,,,,
67,,,,,,,,,,,
68,,,,,,,,,,,
69,,,,,,,,,,,
70,,,,,,,,,,,
71,,,,,,,,,,,
72,,,,,,,,,,,
73,,,,,,,,,,,
74,,,,,,,,,,,
75,,,,,,,,,,,
76,,,,,,,,,,,
77,,,,,,,,,,,
78,,,,,,,,,,,
79,,,,,,,,,,,
80,,,,,,,,,,,
81,,,,,,,,,,,
82,,,,,,,,,,,
83,,,,,,,,,,,
84,,,,,,,,,,,
85,,,,,,,,,,,
86,,,,,,,,,,,
87,,,,,,,,,,,
88,,,,,,,,,,,
89,,,,,,,,,,,
90,,,,,,,,,,,
91,,,,,,,,,,,
92,,,,,,,,,,,
93,,,,,,,,,,,
94,,,,,,,,,,,
95,,,,,,,,,,,
96,,,,,,,,,,,
97,,,,,,,,,,,
98,,,,,,,,,,,
99,,,,,,,,,,,
100,,,,,,,,,,,
101,,,,,,,,,,,
102,,,,,,,,,,,
103,,,,,,,,,,,
104,,,,,,,,,,,
105,,,,,,,,,,,
106,,,,,,,,,,,
107,,,,,,,,,,,
108,,,,,,,,,,,
109,,,,,,,,,,,
