,epoch,train_loss,basket_value_train_loss,train_auc,train_mse,train_bce,val_loss,basket_value_val_loss,val_auc,val_mse,val_bce
0,1.0,2255.2386157714095,1590.3146622243198,0.5068483667957836,2253.6098449050737,1.6287672826405128,803.0283203125,828.583740234375,0.5006674048560603,802.3768310546875,0.6514736413955688
1,2.0,795.8902071529453,816.6325156450638,0.5082210608982791,794.5461134200089,1.3440945218968134,788.5177001953125,814.1774291992188,0.4986353005220625,787.8469848632812,0.6707075834274292
2,3.0,793.1576267599877,814.2360405753468,0.4974104682317407,791.9125578099498,1.245070446013672,784.8237915039062,805.9161376953125,0.5,784.14453125,0.6792856454849243
3,4.0,885.3063500048378,887.9903266074654,0.4984540333290852,884.0531857163859,1.2531665288907592,784.6541748046875,805.3890991210938,0.5,783.9939575195312,0.6602429747581482
4,5.0,778.451660906298,792.696300617927,0.5004637998484405,777.2132710399716,1.2383896117935533,784.6607666015625,805.553466796875,0.5,784.000244140625,0.6605153679847717
5,6.0,781.9464415331956,794.9184612385505,0.498608538701265,780.7049031411448,1.241537498805197,784.674072265625,804.0180053710938,0.5,783.99072265625,0.683351993560791
6,7.0,774.0938912434145,793.2674148020474,0.5059126189863107,772.8662547918692,1.2276362509405192,784.6834716796875,803.383544921875,0.5,783.9912719726562,0.6922159194946289
7,8.0,803.8461452782979,822.2062478717388,0.5048070300954094,802.6172937021095,1.2288519104688032,784.6936645507812,803.7462768554688,0.5,783.9982299804688,0.6954542994499207
8,9.0,792.1633590018511,795.8040716402725,0.49689101103289823,790.923839047574,1.2395207595349091,784.6649780273438,805.4535522460938,0.5,784.0018920898438,0.6630712747573853
9,10.0,777.6252071538828,794.3324751612229,0.5032395373527707,776.3965953586654,1.228613305018611,784.7131958007812,801.993896484375,0.5,783.994384765625,0.7188253402709961
10,,,,,,,,,,,
11,,,,,,,,,,,
12,,,,,,,,,,,
13,,,,,,,,,,,
14,,,,,,,,,,,
15,,,,,,,,,,,
16,,,,,,,,,,,
17,,,,,,,,,,,
18,,,,,,,,,,,
19,,,,,,,,,,,
20,,,,,,,,,,,
21,,,,,,,,,,,
22,,,,,,,,,,,
23,,,,,,,,,,,
24,,,,,,,,,,,
25,,,,,,,,,,,
26,,,,,,,,,,,
27,,,,,,,,,,,
28,,,,,,,,,,,
29,,,,,,,,,,,
30,,,,,,,,,,,
31,,,,,,,,,,,
32,,,,,,,,,,,
33,,,,,,,,,,,
34,,,,,,,,,,,
35,,,,,,,,,,,
36,,,,,,,,,,,
37,,,,,,,,,,,
38,,,,,,,,,,,
39,,,,,,,,,,,
40,,,,,,,,,,,
41,,,,,,,,,,,
42,,,,,,,,,,,
43,,,,,,,,,,,
44,,,,,,,,,,,
45,,,,,,,,,,,
46,,,,,,,,,,,
47,,,,,,,,,,,
48,,,,,,,,,,,
49,,,,,,,,,,,
50,,,,,,,,,,,
51,,,,,,,,,,,
52,,,,,,,,,,,
53,,,,,,,,,,,
54,,,,,,,,,,,
55,,,,,,,,,,,
56,,,,,,,,,,,
57,,,,,,,,,,,
58,,,,,,,,,,,
59,,,,,,,,,,,
60,,,,,,,,,,,
61,,,,,,,,,,,
62,,,,,,,,,,,
63,,,,,,,,,,,
64,,,,,,,,,,,
65,,,,,,,,,,,
66,,,,,,,,,,,
67,,,,,,,,,,,
68,,,,,,,,,,,
69,,,,,,,,,,,
70,,,,,,,,,,,
71,,,,,,,,,,,
72,,,,,,,,,,,
73,,,,,,,,,,,
74,,,,,,,,,,,
75,,,,,,,,,,,
76,,,,,,,,,,,
77,,,,,,,,,,,
78,,,,,,,,,,,
79,,,,,,,,,,,
