,epoch,train_loss,basket_value_train_loss,train_auc,train_mse,train_bce,val_loss,basket_value_val_loss,val_auc,val_mse,val_bce,lambda1,lambda2
0,1,48132.3633894657,48128.29488293232,0.5171397359250451,48128.29488293232,4.066896217000997,3470.08544921875,3467.453125,0.576629437403744,3467.453125,2.632418632507324,1.0,1.0
1,2,285156.1120171108,285151.40480050864,0.5554010687279445,285151.40480050864,4.711977671991828,810.2243041992188,808.0699462890625,0.5850567523979042,808.0699462890625,2.154353380203247,1.0,1.0
2,3,111028.28135297343,111024.64490494992,0.5597248549946394,111024.64490494992,3.636388541730635,992.9263916015625,991.4521484375,0.5893112380431851,991.4521484375,1.474242091178894,0.000953927330471479,1.9990460726695287
3,4,2167.455974181006,2165.7187642290546,0.5297799128362248,2165.7187642290546,1.737227776299225,800.6066284179688,799.8717651367188,0.3941327389055367,799.8717651367188,0.7348452210426331,0.00020934816068098354,1.9997906518393191
4,5,985.1446566903518,983.7699517560152,0.5154832289745148,983.7699517560152,1.3747009660568705,805.5617065429688,804.8120727539062,0.41536188602423596,804.8120727539062,0.7496044635772705,0.0023590868104538,1.9976409131895463
5,6,934.9520578208876,933.6193735321607,0.5045761624546053,933.6193735321607,1.3326812499871283,806.0570678710938,805.3251342773438,0.4525854919982644,805.3251342773438,0.7319496870040894,0.7986731064876085,1.2013268935123915
6,7,8977.149073314082,8974.84490929352,0.5512334535065891,8974.84490929352,2.3040582592501964,8061.62158203125,8060.1435546875,0.5999479064081477,8060.1435546875,1.4778894186019897,2.0,6.620162869932831e-69
7,8,14373.552877039998,14361.559689012773,0.5598276068335727,14361.559689012773,11.993159559606774,65267.8828125,65260.7890625,0.5955407558313208,65260.7890625,7.093057632446289,9.730286940898562e-32,2.0
8,9,195817.83826058044,195814.77014684383,0.5241992351389075,195814.77014684383,3.068781125764905,11601.9453125,11601.142578125,0.5750878704604805,11601.142578125,0.8027051687240601,2.0,1.2431735054194158e-116
9,10,565014.1293305005,565008.2644398696,0.5042828988307508,565008.2644398696,5.846370272109845,14694.73046875,14690.4912109375,0.5491577990666399,14690.4912109375,4.239706516265869,1.9999999938883215,6.111678700859325e-09
10,11,331895.68884202454,331876.79773960233,0.5266746783097778,331876.79773960233,18.892293321574392,929.9361572265625,919.1415405273438,0.5534904705248752,919.1415405273438,10.794621467590332,2.162243912482547e-23,2.0
11,12,12019.35833646622,12012.362652924894,0.5201475594483423,12012.362652924894,6.995810761773513,1291.9248046875,1291.0213623046875,0.5881694671590514,1291.0213623046875,0.9034088253974915,0.0025031771905663536,1.9974968228094336
12,13,5580.743363269267,5577.969727873071,0.5147635622012763,5577.969727873071,2.773695005960991,802.1971435546875,801.3900756835938,0.5573735417609996,801.3900756835938,0.8070391416549683,1.5906931628036942,0.4093068371963059
13,14,2206.5513301919573,2203.070917609279,0.5297034011910998,2203.070917609279,3.48042449775649,2622.350341796875,2619.796630859375,0.5564448512925099,2619.796630859375,2.5538203716278076,6.801010338975145e-08,1.9999999319898965
14,15,94232.99435143969,94230.057430712,0.5242542081947248,94230.057430712,2.9363313320955617,4941.9130859375,4941.06396484375,0.5694510058587575,4941.06396484375,0.8490736484527588,1.0,1.0
