,epoch,train_loss,basket_value_train_loss,train_auc,train_mse,train_bce,val_loss,basket_value_val_loss,val_auc,val_mse,val_bce
0,1.0,1398.2049496890577,1396.314915569282,0.5018056222510969,1396.314915569282,1.8900346565831658,857.7128295898438,857.0286254882812,0.49834919459345917,857.0286254882812,0.6842091083526611
1,2.0,1366.7974722458541,1364.5673936715154,0.4889496672292124,1364.5673936715154,2.230071560736814,846.2498168945312,845.5262451171875,0.45932389894824366,845.5262451171875,0.7235623002052307
2,3.0,821.3176181535779,818.1340326414518,0.47356870190786005,818.1340326414518,3.183583157925518,806.2831420898438,805.5052490234375,0.5272942621098069,805.5052490234375,0.7778894305229187
3,4.0,810.9490543669718,807.7109550990941,0.46818532803647045,807.7109550990941,3.2380993666093043,802.985107421875,802.220703125,0.5323599687184069,802.220703125,0.7643792629241943
4,5.0,801.2498857931125,797.9995353090251,0.46029522454509264,797.9995353090251,3.2503505477144676,800.8141479492188,800.0584716796875,0.4286610148057002,800.0584716796875,0.7556658983230591
5,6.0,794.1172698787385,791.0504962944545,0.45465648361775396,791.0504962944545,3.0667724850718963,795.9340209960938,795.1823120117188,0.42400567923720595,795.1823120117188,0.7517126798629761
6,7.0,796.6184490180455,793.8597767835746,0.45387771548953865,793.8597767835746,2.758673145727146,792.8817749023438,792.1329956054688,0.4203256221977209,792.1329956054688,0.7487596273422241
7,8.0,790.393586515649,787.8088966790884,0.44902480260771654,787.8088966790884,2.584690142994278,789.583984375,788.841796875,0.4105413481756159,788.841796875,0.7422134280204773
8,9.0,786.760605139235,784.3249129780962,0.44610982701099655,784.3249129780962,2.43569274328969,789.7691040039062,789.0317993164062,0.41492658564753404,789.0317993164062,0.7373159527778625
9,10.0,784.032939138588,781.6973152394675,0.4478124629270891,781.6973152394675,2.335621972756883,786.732666015625,785.9949340820312,0.41039273516977026,785.9949340820312,0.7377257347106934
