,epoch,train_loss,basket_value_train_loss,train_auc,train_mse,train_bce,val_loss,basket_value_val_loss,val_auc,val_mse,val_bce,lambda1,lambda2
0,1,776.0988818209595,745.2271981268573,0.6228352123840096,745.2271981268573,30.87168485255329,822.7281494140625,798.3010864257812,0.6106912875966011,798.3010864257812,24.427078247070312,1.0,1.0
1,2,799.7421098018716,773.914959679352,0.6322326240747921,773.914959679352,25.82715125756761,812.6453247070312,790.533203125,0.6127252997879917,790.533203125,22.11210823059082,1.0,1.0
2,3,958.902329895394,931.6771976026289,0.6341051686672659,931.6771976026289,27.225129659921844,813.2424926757812,790.1646118164062,0.6110018686100405,790.1646118164062,23.07786750793457,1.9046434095484215,0.0953565904515786
3,4,790.7527297318347,743.4906513237514,0.5881951857172165,743.4906513237514,47.26207744855822,830.4248657226562,787.4678344726562,0.5974207221658143,787.4678344726562,42.95701217651367,1.4256674099363827e-08,1.9999999857433257
4,5,761.9182722407616,742.8815517308522,0.5952106689336734,742.8815517308522,19.036716976048755,846.292724609375,839.8931274414062,0.5606149187906874,839.8931274414062,6.39957857131958,1.9999867916858463,1.3208314153572159e-05
5,6,808.2698862274732,762.365919241876,0.5923938178423838,762.365919241876,45.90396611090818,821.4739990234375,771.4716186523438,0.5919072686822848,771.4716186523438,50.002384185791016,1.862580248046881e-12,1.9999999999981373
6,7,1086.126109491828,1053.577376851275,0.5643967035293378,1053.577376851275,32.548735068619614,851.688232421875,844.3987426757812,0.5292324816900201,844.3987426757812,7.289493560791016,1.999997141749834,2.858250166148306e-06
7,8,822.4999091961632,783.7740034793784,0.6121376284646252,783.7740034793784,38.72590400251143,807.2528076171875,778.8677978515625,0.6182997865380129,778.8677978515625,28.384994506835938,0.00026806204130775524,1.9997319379586922
8,9,774.6329340086393,759.3953769426404,0.6005302223209683,759.3953769426404,15.237555035784201,835.698486328125,829.5858154296875,0.5579649957227654,829.5858154296875,6.112672328948975,1.999979911073178,2.0088926822089404e-05
9,10,768.6115958559001,726.8452637093199,0.6103878246235094,726.8452637093199,41.766329896961985,812.8328247070312,767.1793823242188,0.6138237895644199,767.1793823242188,45.653465270996094,6.404451714783858e-16,1.9999999999999991
10,11,4686.8830729291485,4651.736367816574,0.5905133821650399,4651.736367816574,35.1467975370723,827.8291015625,818.993408203125,0.5606968658082156,818.993408203125,8.835711479187012,2.0,1.0506988142682746e-48
11,12,918.7473968318635,871.7377725612898,0.6099603674935637,871.7377725612898,47.009623357854736,810.536376953125,768.7303466796875,0.6167086516426834,768.7303466796875,41.806060791015625,2.0473853467958184e-10,1.9999999997952613
12,13,808.9211064438147,789.2550393321031,0.6273655871858395,789.2550393321031,19.666068589029138,825.041748046875,816.7035522460938,0.5766119941361548,816.7035522460938,8.338165283203125,1.9998823398379184,0.00011766016208160475
13,14,825.1130073406945,788.6793583594948,0.6308263978686326,788.6793583594948,36.43365115183263,810.255615234375,773.3672485351562,0.6214728441029763,773.3672485351562,36.88837432861328,7.744186845701689e-08,1.9999999225581315
14,15,777.4401256350652,761.3132039637653,0.6241872850188422,761.3132039637653,16.126919831234986,825.0128784179688,816.2990112304688,0.5781959336836038,816.2990112304688,8.713871955871582,1.9999422938485754,5.7706151424637226e-05
15,16,763.8807897275211,735.4550487307683,0.6494444020330159,735.4550487307683,28.425740853409096,808.532958984375,766.3638916015625,0.6198777117921577,766.3638916015625,42.169090270996094,2.409460857609186e-07,1.9999997590539143
16,17,803.6943587788775,777.23744959919,0.6268566756341525,777.23744959919,26.456909273299704,824.5887451171875,814.50927734375,0.5728452658608361,814.50927734375,10.079476356506348,1.851267742694004,0.14873225730599593
17,18,752.6801317835146,722.0233030728767,0.6453537232201315,722.0233030728767,30.6568286228765,808.57958984375,775.0711059570312,0.6278747413490477,775.0711059570312,33.50846481323242,0.019988666027900063,1.9800113339721
18,19,828.5390533260041,808.2330451450465,0.6647128225923229,808.2330451450465,20.306012124371676,798.0843505859375,789.2879028320312,0.6540538517278647,789.2879028320312,8.796430587768555,1.9997855991689646,0.0002144008310354479
19,20,994.0593228018357,953.8643180987586,0.6295807221931554,953.8643180987586,40.195006879560786,820.01953125,771.9397583007812,0.6039630377159786,771.9397583007812,48.07978820800781,2.283411775879436e-07,1.9999997716588227
20,21,752.2526342473878,716.3489185169431,0.6374356546118884,716.3489185169431,35.90371669582063,803.7476806640625,796.9315185546875,0.6159227234173686,796.9315185546875,6.816169738769531,0.10989821767754698,1.890101782322453
21,22,810.341881313207,798.5484398215826,0.6696260760699246,798.5484398215826,11.793442550612374,791.77783203125,783.9483032226562,0.6516885446427728,783.9483032226562,7.829526901245117,1.9999997038286792,2.961713209038859e-07
22,23,804.1814451627205,764.370865336225,0.6337454800673668,764.370865336225,39.81058244763708,815.1057739257812,770.3212890625,0.6104587106954122,770.3212890625,44.784461975097656,1.970643308364899e-21,2.0
23,24,763.2941224267878,746.4509537585674,0.5959666008163867,746.4509537585674,16.84316797197962,829.425048828125,821.875244140625,0.5647433949977069,821.875244140625,7.549810886383057,1.999968838735122,3.116126487821608e-05
24,25,890.9043440555503,858.786903989827,0.6421663591569197,858.786903989827,32.117438626435636,802.6873779296875,770.253662109375,0.625622706482863,770.253662109375,32.433712005615234,5.387377941411784e-07,1.9999994612622056
25,26,868.7062565154093,846.9090248529166,0.6263676970830159,846.9090248529166,21.797233359213987,847.0966186523438,836.7987060546875,0.5076738930248007,836.7987060546875,10.297917366027832,1.9957417943038203,0.004258205696179655
